,loss,PYR,BC,OLM,PYR->BC_AMPA,PYR->OLM_AMPA,PYR->PYR_AMPA,BC->BC_GABA,BC->PYR_GABA,OLM->PYR_GABA,PYR->BC_NMDA,PYR->OLM_NMDA,PYR->PYR_NMDA,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,INTERVAL/PYR/0_250,INTERVAL/PYR/250_500,INTERVAL/PYR/500_750,INTERVAL/PYR/750_1000,INTERVAL/BC/0_250,INTERVAL/BC/250_500,INTERVAL/BC/500_750,INTERVAL/BC/750_1000,INTERVAL/OLM/0_250,INTERVAL/OLM/250_500,INTERVAL/OLM/500_750,INTERVAL/OLM/750_1000,config/netParams.connParams.BC->BC_GABA.weight,config/netParams.connParams.BC->PYR_GABA.weight,config/netParams.connParams.OLM->PYR_GABA.weight,config/netParams.connParams.PYR->BC_AMPA.weight,config/netParams.connParams.PYR->BC_NMDA.weight,config/netParams.connParams.PYR->OLM_AMPA.weight,config/netParams.connParams.PYR->OLM_NMDA.weight,config/netParams.connParams.PYR->PYR_AMPA.weight,config/netParams.connParams.PYR->PYR_NMDA.weight,logdir
20,730.6054837025348,1.0375,12.04,5.32,0.085245,0.0038689999999999,0.011141999999999,0.0870089999999999,0.013463999999999,0.018764,0.031785,0.001065999999999,0.0427,36.47809624671936,False,1,dc905b60,2023-12-12_01-04-51,1702361091,36.47809624671936,740198,grid,10.0.0.101,36.47809624671936,1,1.465,0.89,0.935,0.86,11.88,12.4,10.8,13.08,7.02,5.02,5.22,4.02,0.087009,0.013463999999999999,0.018764,0.085245,0.031785,0.003869,0.0010659999999999999,0.011141999999999999,0.0427,"/ddn/jchen/dev/pubtk/examples/ray_ses/optuna/sge_run_dc905b60_21_netParams_connParams_BC-_BC_GABA_weight=0.0870,netParams_connParams_BC-_PYR_GABA_weight=0.0135,netParams_connP_2023-12-12_01-04-14"
21,75.43162022370863,0.52875,15.835,8.55,0.069025,0.011335999999999,0.033396999999999,0.016416,0.0226789999999999,0.0036439999999999,0.015742,0.009199999999999,0.061638,36.746309757232666,False,1,8a273d99,2023-12-12_01-05-28,1702361128,36.746309757232666,740198,grid,10.0.0.101,36.746309757232666,1,0.72,0.51,0.435,0.45,17.82,14.78,14.46,16.28,10.9,8.74,6.94,7.62,0.016416,0.022679,0.003644,0.069025,0.015742,0.011335999999999999,0.009199999999999998,0.033396999999999996,0.061638,"/ddn/jchen/dev/pubtk/examples/ray_ses/optuna/sge_run_8a273d99_22_netParams_connParams_BC-_BC_GABA_weight=0.0164,netParams_connParams_BC-_PYR_GABA_weight=0.0227,netParams_connP_2023-12-12_01-04-51"
22,37184141.38236986,5.78625,13.38,22.0,0.068275,0.011161999999999,0.033011,0.030189999999999,0.0237539999999999,0.005506,0.009767,0.009696999999999,0.068717,36.428608417510986,False,1,d47a571c,2023-12-12_01-06-04,1702361164,36.428608417510986,740198,grid,10.0.0.101,36.428608417510986,1,1.415,0.895,0.5700000000000001,20.265,17.44,14.08,12.24,9.76,17.98,14.16,9.36,46.5,0.030189999999999998,0.023754,0.005506,0.068275,0.009767,0.011161999999999998,0.009696999999999999,0.033011,0.068717,"/ddn/jchen/dev/pubtk/examples/ray_ses/optuna/sge_run_d47a571c_23_netParams_connParams_BC-_BC_GABA_weight=0.0302,netParams_connParams_BC-_PYR_GABA_weight=0.0238,netParams_connP_2023-12-12_01-05-28"
23,49838.93813638084,0.52375,17.665,15.385,0.085508,0.014368999999999,0.030653,0.015612999999999,0.014939999999999,0.0185439999999999,0.020531,0.029657,0.044807,36.47331666946411,False,1,81adfaec,2023-12-12_01-06-41,1702361201,36.47331666946411,740198,grid,10.0.0.101,36.47331666946411,1,1.04,0.235,0.41,0.41,19.3,15.26,16.96,19.14,25.08,9.94,13.18,13.34,0.015612999999999998,0.014939999999999998,0.018544,0.085508,0.020531,0.014368999999999998,0.029657,0.030653,0.044807,"/ddn/jchen/dev/pubtk/examples/ray_ses/optuna/sge_run_81adfaec_24_netParams_connParams_BC-_BC_GABA_weight=0.0156,netParams_connParams_BC-_PYR_GABA_weight=0.0149,netParams_connP_2023-12-12_01-06-04"
24,27.51312741185745,0.15875,15.84,1.185,0.06742,0.0058,0.009515999999999,0.006085,0.032753,0.026594,0.043565,0.000942999999999,0.032423,36.44996190071106,False,1,e966061f,2023-12-12_01-07-17,1702361237,36.44996190071106,740198,grid,10.0.0.101,36.44996190071106,1,0.395,0.07,0.095,0.075,20.68,14.62,14.5,13.56,2.72,0.52,0.74,0.76,0.006085,0.032753,0.026594,0.06742,0.043565,0.0058,0.0009429999999999999,0.009515999999999998,0.032423,"/ddn/jchen/dev/pubtk/examples/ray_ses/optuna/sge_run_e966061f_25_netParams_connParams_BC-_BC_GABA_weight=0.0061,netParams_connParams_BC-_PYR_GABA_weight=0.0328,netParams_connP_2023-12-12_01-06-41"
25,40.646133653994944,0.155,15.21,1.61,0.05491,0.0065819999999999,0.014486999999999,0.005720999999999,0.033062,0.012440999999999,0.043584,0.010098999999999,0.024388,36.48719668388367,False,1,6baa1504,2023-12-12_01-07-54,1702361274,36.48719668388367,740198,grid,10.0.0.101,36.48719668388367,1,0.4,0.06,0.075,0.085,20.98,12.78,13.38,13.7,3.84,0.54,0.98,1.08,0.0057209999999999995,0.033062,0.012440999999999999,0.05491,0.043584,0.006582,0.010098999999999999,0.014486999999999998,0.024388,"/ddn/jchen/dev/pubtk/examples/ray_ses/optuna/sge_run_6baa1504_26_netParams_connParams_BC-_BC_GABA_weight=0.0057,netParams_connParams_BC-_PYR_GABA_weight=0.0331,netParams_connP_2023-12-12_01-07-18"
26,3.4730258770608708e+16,7.30625,1.055,42.655,0.036881,0.00486,0.014053999999999,0.004259,0.033357,0.025997,0.045031999999999,0.037323999999999,0.021071,36.75066566467285,False,1,524d9779,2023-12-12_01-08-31,1702361311,36.75066566467285,740198,grid,10.0.0.101,36.75066566467285,1,24.7,0.0,0.0,4.525,4.22,0.0,0.0,0.0,21.62,61.32,20.52,67.16,0.004259,0.033357,0.025997,0.036881,0.045031999999999996,0.00486,0.037323999999999996,0.014053999999999999,0.021071,"/ddn/jchen/dev/pubtk/examples/ray_ses/optuna/sge_run_524d9779_27_netParams_connParams_BC-_BC_GABA_weight=0.0043,netParams_connParams_BC-_PYR_GABA_weight=0.0334,netParams_connP_2023-12-12_01-07-54"
27,8.079625152784907e+24,10.94625,1.37,61.92,0.0545019999999999,0.001316,0.011404999999999,0.006912,0.046298,0.012122999999999,0.056457,0.023606,0.0050079999999999,36.714030504226685,False,1,fabab316,2023-12-12_01-09-08,1702361348,36.714030504226685,740198,grid,10.0.0.101,36.714030504226685,1,26.855,0.0,6.34,10.59,5.48,0.0,0.0,0.0,33.44,61.66,65.46,87.12,0.006912,0.046298,0.012122999999999998,0.054502,0.056457,0.001316,0.023606,0.011404999999999998,0.005008,"/ddn/jchen/dev/pubtk/examples/ray_ses/optuna/sge_run_fabab316_28_netParams_connParams_BC-_BC_GABA_weight=0.0069,netParams_connParams_BC-_PYR_GABA_weight=0.0463,netParams_connP_2023-12-12_01-08-31"
28,116652.10839489225,0.46375,6.96,8.66,0.02301,0.028170999999999,0.02591,0.078613,0.047951,0.026581,0.038876,0.008143,0.029429,36.71912026405335,False,1,9d79ce54,2023-12-12_01-09-45,1702361385,36.71912026405335,740198,grid,10.0.0.101,36.71912026405335,1,0.6950000000000001,0.37,0.395,0.395,7.36,6.92,6.86,6.7,11.82,7.56,7.94,7.32,0.078613,0.047951,0.026581,0.02301,0.038876,0.028170999999999998,0.008143,0.02591,0.029429,"/ddn/jchen/dev/pubtk/examples/ray_ses/optuna/sge_run_9d79ce54_29_netParams_connParams_BC-_BC_GABA_weight=0.0786,netParams_connParams_BC-_PYR_GABA_weight=0.0480,netParams_connP_2023-12-12_01-09-08"
29,1013813.5999490366,0.6012500000000001,9.65,18.39,0.086595999999999,0.046231,0.018955,0.099348999999999,0.030201,0.010627999999999,0.050788,0.024017,0.0220269999999999,36.50763177871704,False,1,a175843c,2023-12-12_01-10-21,1702361421,36.50763177871704,740198,grid,10.0.0.101,36.50763177871704,1,0.87,0.58,0.46,0.495,8.36,11.04,9.96,9.24,24.58,17.88,15.66,15.44,0.09934899999999999,0.030201,0.010627999999999999,0.08659599999999999,0.050788,0.046231,0.024017,0.018955,0.022027,"/ddn/jchen/dev/pubtk/examples/ray_ses/optuna/sge_run_a175843c_30_netParams_connParams_BC-_BC_GABA_weight=0.0993,netParams_connParams_BC-_PYR_GABA_weight=0.0302,netParams_connP_2023-12-12_01-09-45"
